"PCD File";"Estimated Angle"
"../../point_clouds/15_deg_test/1678701775547240_15_deg_filtered.pcd";15.1446
"../../point_clouds/15_deg_test/1678701774346941_15_deg_filtered.pcd";15.0402
"../../point_clouds/15_deg_test/1678701772879883_15_deg_filtered.pcd";15.2894
"../../point_clouds/15_deg_test/1678701771179442_15_deg_filtered.pcd";15.1948
"../../point_clouds/15_deg_test/1678701771412838_15_deg_filtered.pcd";15.3321
"../../point_clouds/15_deg_test/1678701773246647_15_deg_filtered.pcd";15.5109
"../../point_clouds/15_deg_test/1678701770512599_15_deg_filtered.pcd";15.1861
"../../point_clouds/15_deg_test/1678701774713702_15_deg_filtered.pcd";15.5729
"../../point_clouds/15_deg_test/1678701770679308_15_deg_filtered.pcd";15.1264
"../../point_clouds/15_deg_test/1678701770779335_15_deg_filtered.pcd";15.3067
"../../point_clouds/15_deg_test/1678701775447215_15_deg_filtered.pcd";15.3743
"../../point_clouds/15_deg_test/1678701772012993_15_deg_filtered.pcd";15.2908
"../../point_clouds/15_deg_test/1678701773980176_15_deg_filtered.pcd";15.2561
"../../point_clouds/15_deg_test/1678701773880149_15_deg_filtered.pcd";15.1995
"../../point_clouds/15_deg_test/1678701771246126_15_deg_filtered.pcd";15.2807
"../../point_clouds/15_deg_test/1678701772313069_15_deg_filtered.pcd";15.4217
"../../point_clouds/15_deg_test/1678701771646233_15_deg_filtered.pcd";15.4686
"../../point_clouds/15_deg_test/1678701775013776_15_deg_filtered.pcd";15.4677
"../../point_clouds/15_deg_test/1678701773480042_15_deg_filtered.pcd";15.3272
"../../point_clouds/15_deg_test/1678701775113801_15_deg_filtered.pcd";15.4282
"../../point_clouds/15_deg_test/1678701771546208_15_deg_filtered.pcd";15.0984
"../../point_clouds/15_deg_test/1678701771046073_15_deg_filtered.pcd";15.2153
"../../point_clouds/15_deg_test/1678701773113278_15_deg_filtered.pcd";15.3952
"../../point_clouds/15_deg_test/1678701773079936_15_deg_filtered.pcd";15.3429
"../../point_clouds/15_deg_test/1678701772513120_15_deg_filtered.pcd";15.3054
"../../point_clouds/15_deg_test/1678701774313598_15_deg_filtered.pcd";15.5391
"../../point_clouds/15_deg_test/1678701773913491_15_deg_filtered.pcd";15.1099
"../../point_clouds/15_deg_test/1678701771946310_15_deg_filtered.pcd";15.2546
"../../point_clouds/15_deg_test/1678701774280256_15_deg_filtered.pcd";15.2053
"../../point_clouds/15_deg_test/1678701775847312_15_deg_filtered.pcd";15.4381
"../../point_clouds/15_deg_test/1678701772713172_15_deg_filtered.pcd";14.9467
"../../point_clouds/15_deg_test/1678701775380532_15_deg_filtered.pcd";15.0333
"../../point_clouds/15_deg_test/1678701772679830_15_deg_filtered.pcd";15.5295
"../../point_clouds/15_deg_test/1678701772346411_15_deg_filtered.pcd";15.294
"../../point_clouds/15_deg_test/1678701770879361_15_deg_filtered.pcd";15.4697
"../../point_clouds/15_deg_test/1678701775747288_15_deg_filtered.pcd";15.4613
"../../point_clouds/15_deg_test/1678701773613412_15_deg_filtered.pcd";15.4578
"../../point_clouds/15_deg_test/1678701775147143_15_deg_filtered.pcd";15.3453
"../../point_clouds/15_deg_test/1678701774647021_15_deg_filtered.pcd";15.3405
"../../point_clouds/15_deg_test/1678701772146360_15_deg_filtered.pcd";15.0627
"../../point_clouds/15_deg_test/1678701771779600_15_deg_filtered.pcd";15.477
